"시점",이용률,인터넷뱅킹 서비스 접속시 이용기기,인터넷뱅킹 서비스 접속시 이용기기,인터넷뱅킹 서비스 접속시 이용기기,인터넷뱅킹 서비스 접속시 이용기기,인터넷뱅킹 서비스 접속시 이용기기,인터넷뱅킹 송금시 주이용 서비스,인터넷뱅킹 송금시 주이용 서비스,인터넷뱅킹 송금시 주이용 서비스,인터넷뱅킹 송금시 주이용 서비스
"시점",소계,스마트폰,데스크탑 컴퓨터,노트북 컴퓨터,기타,스마트패드,일반은행(국민신한하나우리기업지방은행 등) 인터넷뱅킹,인터넷전문은행(케이뱅크 카카오뱅크) 인터넷뱅킹,간편송금서비스(토스 카카오페이 페이코 네이버페이 등),기타
"2011",52.9,26.3,95.1,14.3,9.5,-,-,-,-,-
"2012",53.3,33.5,93.9,13.1,1.9,-,-,-,-,-
"2013",53.4,64.3,67.1,14.7,4.4,-,-,-,-,-
"2014",57.2,64.2,61.5,14.1,0.1,0.9,-,-,-,-
"2015",60.3,73.2,61.9,13.9,0.2,2.3,-,-,-,-
"2016",63.2,85.1,58.5,19.3,0.2,2.1,-,-,-,-
"2017",68.0,90.6,61.4,10.8,0.2,2.0,-,-,-,-
"2018",68.7,90.5,51.2,17.3,0.3,3.3,-,-,-,-
"2019",70.0,-,-,-,-,-,91.5,38.7,35.1,-
"2020",78.4,-,-,-,-,-,88.5,40.9,30.6,-
"2021",81.3,-,-,-,-,-,90.1,46.9,33.5,0.4
"2022",82.3,-,-,-,-,-,90.0,52.7,28.6,0.3
"2023",80.9,-,-,-,-,-,86.8,60.9,34.5,0.1
"2024",82.5,-,-,-,-,-,88.0,44.8,41.7,0.0
