작성일,제목,조회수
2024-03-21,[필독]Autodesk 정품 사용 및 교육용 인증방법 안내,694425
2024-06-10,신규 디자인 학생증 발급 안내,497562
2024-11-28,직전학기 학사경고자 수강신청학점 제한안내,455037
2024-11-13,포탈 동영상 수강교과목 관련 안내,449995
2025-01-09,2025학년도 학생예비군 전입신고 안내,416185
2025-02-24,[대플]서경포탈 온라인 및 모바일 진로ㆍ취업상담 신청 방법,378415
2024-01-04,2025학년도 학생예비군 전입신고 안내,364715
2025-02-26,"2025학년도 신입생,재학생,편입생 학생증 체크카드 발급 안내",364551
2025-04-21,2025학년도 자기 탐색 검사 도구  상담 신청 안내,313400
2024-03-13,2024년도 서경대학교 안전관리계획,311449
2025-03-13,서경대학교 직원 및 전임상담사 채용 공고[대학혁신지원사업],278717
2025-05-09,[대플] 진로·취업 상담 신청 방법 안내,273489
2025-03-14,서경대학교 관리원(환경미화) 채용 공고,268045
2025-05-23,Google AI Studio 및 NotebookLM 사용 안내,260421
2025-02-25,서경대학교 관리원(환경미화) 채용 공고,256051
2025-03-14,2025학년도 1학기 학부 재학생 등록금 추가 납부 안내(분납신청종료),253917
2025-03-25,2025학년도 신입생 실태조사 실시 안내,252374
2025-03-13,2025학년도 1학기 서경대학교 비전임 교원 추가 초빙 공고,245915
2025-03-12,2025학년도 1학기 커리어 코드 분석 나만의 진로 알고리즘 만들기  [E-Disc 진로설계워크숍],235158
2025-03-14,[대플] 2025학년도 1학기 기업 및 직무분석 가이드,217832
